dataset,config,seed,r2,rmse,train_time,n_estimators,use_bootstrap,use_feature_subsampling
UsedCars,A_SingleTree,42,0.6118682454708233,9496.051607474203,205.82759483903646,1,False,False
UsedCars,A_SingleTree,999,0.6118682454708233,9496.051607474203,206.57803316391073,1,False,False
UsedCars,A_SingleTree,31,0.6118682454708233,9496.051607474203,207.8135282290168,1,False,False
UsedCars,A_SingleTree,7,0.6118682454708233,9496.051607474203,208.35268054599874,1,False,False
UsedCars,A_SingleTree,123,0.6118682454708233,9496.051607474203,208.98144134599715,1,False,False
UsedCars,A_SingleTree,2024,0.6118682454708233,9496.051607474203,210.7822635609191,1,False,False
UsedCars,B_BaggingOnly,42,0.6659213797053052,8810.03878112222,7021.049089212087,50,True,False
UsedCars,B_BaggingOnly,31,0.6661506547502238,8807.015138487013,7145.312010893016,50,True,False
UsedCars,B_BaggingOnly,7,0.6650089033750761,8822.062103792456,7166.756814691005,50,True,False
UsedCars,B_BaggingOnly,999,0.6692483048077889,8766.061593066846,7175.373194556916,50,True,False
UsedCars,B_BaggingOnly,123,0.6655437268777258,8815.016945110225,7183.604748804006,50,True,False
UsedCars,B_BaggingOnly,2024,0.6678823774310783,8784.143838595091,7220.419584968011,50,True,False
UsedCars,C_FeatureRandOnly,31,0.6300500634318571,9270.965331365931,2225.361834510928,50,False,True
UsedCars,C_FeatureRandOnly,7,0.62791948060686,9297.6232651277,2226.6834487479646,50,False,True
UsedCars,C_FeatureRandOnly,42,0.6253072784727576,9330.203300466119,2250.182813795982,50,False,True
UsedCars,C_FeatureRandOnly,123,0.6326572810037956,9238.239063553723,2272.7247496130876,50,False,True
UsedCars,C_FeatureRandOnly,2024,0.6315971779581251,9251.559634997355,2284.997424320085,50,False,True
UsedCars,C_FeatureRandOnly,999,0.6312509373597237,9255.906118065379,2298.989928697003,50,False,True
UsedCars,D_FullRandomForest,2024,0.63040265454177,9266.546302094817,1509.476847318001,50,True,True
UsedCars,D_FullRandomForest,7,0.625270795379625,9330.657521179404,1518.5422923649894,50,True,True
UsedCars,D_FullRandomForest,42,0.625021535357384,9333.760259426866,1524.6629278939217,50,True,True
UsedCars,D_FullRandomForest,123,0.6296011073005059,9276.589058115456,1530.8336872110376,50,True,True
UsedCars,D_FullRandomForest,31,0.6268595497218545,9310.856731071835,1546.9008622010006,50,True,True
UsedCars,D_FullRandomForest,999,0.6237287798559299,9349.835700011545,1573.7624019529903,50,True,True
CaliforniaHousing,A_SingleTree,999,0.7245798735257526,60734.00267501074,9.894739239942282,1,False,False
CaliforniaHousing,A_SingleTree,7,0.7245798735257526,60734.00267501074,9.9789536310127,1,False,False
CaliforniaHousing,A_SingleTree,123,0.7245798735257526,60734.00267501074,10.092798193916678,1,False,False
CaliforniaHousing,A_SingleTree,31,0.7245798735257526,60734.00267501074,10.146584247937426,1,False,False
CaliforniaHousing,A_SingleTree,2024,0.7245798735257526,60734.00267501074,10.172623905935325,1,False,False
CaliforniaHousing,A_SingleTree,42,0.7245798735257526,60734.00267501074,10.21773592592217,1,False,False
CaliforniaHousing,B_BaggingOnly,2024,0.7570274371642606,57044.35643350283,379.01377414900344,50,True,False
CaliforniaHousing,B_BaggingOnly,31,0.7582173567334671,56904.502153174515,379.0430947820423,50,True,False
CaliforniaHousing,B_BaggingOnly,7,0.7568921017243335,57060.241042566406,379.2010080020409,50,True,False
CaliforniaHousing,B_BaggingOnly,999,0.7537159480852467,57431.77152184221,383.272779629915,50,True,False
CaliforniaHousing,B_BaggingOnly,123,0.7588348288540914,56831.793448174,383.7275326231029,50,True,False
CaliforniaHousing,B_BaggingOnly,42,0.7560043618682122,57164.327523864704,385.0104722189717,50,True,False
CaliforniaHousing,C_FeatureRandOnly,7,0.7474669962726436,58155.81412046049,162.50271111202892,50,False,True
CaliforniaHousing,C_FeatureRandOnly,999,0.7528097103510333,57537.338746988935,164.80647999292705,50,False,True
CaliforniaHousing,C_FeatureRandOnly,2024,0.747508831579839,58150.996795429055,165.4804148330586,50,False,True
CaliforniaHousing,C_FeatureRandOnly,31,0.7503954220516107,57817.63734866969,167.9391040209448,50,False,True
CaliforniaHousing,C_FeatureRandOnly,42,0.7489273894922385,57987.41335833308,170.33227283402812,50,False,True
CaliforniaHousing,C_FeatureRandOnly,123,0.75021428188966,57838.61291903873,171.20782218605746,50,False,True
CaliforniaHousing,D_FullRandomForest,7,0.7458325095288398,58343.71351181671,124.83925937500317,50,True,True
CaliforniaHousing,D_FullRandomForest,42,0.7453548274178952,58398.51333274542,126.67564303404652,50,True,True
CaliforniaHousing,D_FullRandomForest,2024,0.7487559770280255,58007.204584176085,127.08120979799423,50,True,True
CaliforniaHousing,D_FullRandomForest,31,0.7514391306426085,57696.62999442314,127.77526109199971,50,True,True
CaliforniaHousing,D_FullRandomForest,999,0.7513519581165582,57706.74647030586,129.0272534119431,50,True,True
CaliforniaHousing,D_FullRandomForest,123,0.7470465308518184,58204.2084662564,129.32233847898897,50,True,True
