dataset,n_samples,n_train,n_test,n_estimators,seed,fit_seconds,seconds_per_tree,r2,rmse
UsedCars,5000,4000,1000,25,42,20.364517300971784,0.8145806920388714,0.6203609146283204,9453.669255201376
UsedCars,5000,4000,1000,25,123,21.125856277009007,0.8450342510803602,0.6174875193402495,9489.378068753747
UsedCars,5000,4000,1000,50,42,41.13343267102027,0.8226686534204055,0.6310943106429961,9319.071018240653
UsedCars,5000,4000,1000,50,123,42.56535259896191,0.8513070519792382,0.6216935077575572,9437.062733670014
UsedCars,5000,4000,1000,100,42,83.09885763400234,0.8309885763400234,0.6276782431616373,9362.118900903044
UsedCars,5000,4000,1000,100,123,85.7125664659543,0.857125664659543,0.6207699588452664,9448.574928681786
UsedCars,10000,8000,2000,25,42,45.30023751000408,1.8120095004001633,0.6620996600933347,8970.055589338483
UsedCars,10000,8000,2000,25,123,47.37717207701644,1.8950868830806575,0.6551385021031744,9061.981583819637
UsedCars,10000,8000,2000,50,42,92.92409455799498,1.8584818911598995,0.6619909754742331,8971.498068937566
UsedCars,10000,8000,2000,50,123,94.47023397800513,1.8894046795601025,0.6599440815457974,8998.621586378686
UsedCars,10000,8000,2000,100,42,184.21611395000946,1.8421611395000945,0.6630788408479293,8957.049271867898
UsedCars,10000,8000,2000,100,123,187.9426421560347,1.8794264215603471,0.6616240069916873,8976.366820504612
UsedCars,20000,16000,4000,25,42,114.12442418100545,4.564976967240218,0.6132924084042168,9730.914830013402
UsedCars,20000,16000,4000,25,123,119.97633885696996,4.799053554278799,0.6167329655126107,9687.529892861403
UsedCars,20000,16000,4000,50,42,237.81411111197667,4.756282222239533,0.616272495003988,9693.347615719043
UsedCars,20000,16000,4000,50,123,238.19594493199838,4.763918898639968,0.6158161295720807,9699.110030741294
UsedCars,20000,16000,4000,100,42,468.5012334449566,4.685012334449566,0.6155634907872694,9702.298567341459
UsedCars,20000,16000,4000,100,123,478.5416858000099,4.785416858000099,0.6173059726229728,9680.28546620699
CaliforniaHousing,5000,4000,1000,25,123,17.950026164995506,0.7180010465998202,0.7263347397328412,59392.16541409397
CaliforniaHousing,5000,4000,1000,25,42,18.343368105997797,0.7337347242399119,0.7326337806893777,58704.66201397307
CaliforniaHousing,5000,4000,1000,50,42,36.059353875985835,0.7211870775197167,0.7367949647347631,58246.042286284835
CaliforniaHousing,5000,4000,1000,50,123,36.59227450803155,0.731845490160631,0.7316218707351473,58815.64785802629
CaliforniaHousing,5000,4000,1000,100,42,71.5784616789897,0.715784616789897,0.7386581672665902,58039.51714489768
CaliforniaHousing,5000,4000,1000,100,123,72.48523817403475,0.7248523817403475,0.7322333892608065,58748.60183979357
CaliforniaHousing,10000,8000,2000,25,123,37.08661785203731,1.4834647140814923,0.7686734717072664,56264.095775062124
CaliforniaHousing,10000,8000,2000,25,42,37.550072963989805,1.5020029185595922,0.765396115408274,56661.25937689951
CaliforniaHousing,10000,8000,2000,50,123,72.47762629698263,1.4495525259396527,0.7716165933814891,55905.0315613119
CaliforniaHousing,10000,8000,2000,50,42,73.11665789200924,1.4623331578401848,0.771304286623662,55943.242643851474
CaliforniaHousing,10000,8000,2000,100,42,142.82376722298795,1.4282376722298795,0.772054751137768,55851.37840087926
CaliforniaHousing,10000,8000,2000,100,123,143.21815087698633,1.4321815087698633,0.7713681880044071,55935.426362233076
CaliforniaHousing,20000,16000,4000,25,123,76.75736553198658,3.070294621279463,0.7890530021929602,52968.50868893831
CaliforniaHousing,20000,16000,4000,25,42,79.73525277798763,3.1894101111195052,0.7893395719163785,52932.51782454736
CaliforniaHousing,20000,16000,4000,50,123,153.53616950497963,3.0707233900995927,0.7919091236854026,52608.70249620121
CaliforniaHousing,20000,16000,4000,50,42,155.5126312429784,3.1102526248595677,0.7905465713155861,52780.65898658216
CaliforniaHousing,20000,16000,4000,100,123,305.0795360960183,3.0507953609601826,0.7925762071232538,52524.31012466616
CaliforniaHousing,20000,16000,4000,100,42,305.09174860996427,3.050917486099643,0.7950277055457338,52213.00064768962
