dataset,n_samples,n_estimators,mean_fit_seconds,std_fit_seconds,mean_r2,mean_rmse
CaliforniaHousing,5000,25,18.14669713549665,0.2781347538077986,0.7294842602111095,59048.41371403352
CaliforniaHousing,5000,50,36.32581419200869,0.37683179275374673,0.7342084177349553,58530.845072155564
CaliforniaHousing,5000,100,72.03184992651222,0.6411878086669254,0.7354457782636983,58394.05949234562
CaliforniaHousing,10000,25,37.318345408013556,0.32771225243718227,0.7670347935577702,56462.677575980815
CaliforniaHousing,10000,50,72.79714209449594,0.45186357423577056,0.7714604400025755,55924.13710258169
CaliforniaHousing,10000,100,143.02095904998714,0.27887135613138,0.7717114695710876,55893.40238155617
CaliforniaHousing,20000,25,78.2463091549871,2.105684265256272,0.7891962870546694,52950.51325674284
CaliforniaHousing,20000,50,154.524400373979,1.3975694976946735,0.7912278475004944,52694.68074139168
CaliforniaHousing,20000,100,305.0856423529913,0.008635551426549593,0.7938019563344938,52368.655386177896
UsedCars,5000,25,20.745186788990395,0.5383479527375427,0.618924216984285,9471.52366197756
UsedCars,5000,50,41.84939263499109,1.0125202911636828,0.6263939092002766,9378.066875955334
UsedCars,5000,100,84.40571204997832,1.8481712391203966,0.6242241010034519,9405.346914792415
UsedCars,10000,25,46.33870479351026,1.4686145164151845,0.6586190810982545,9016.018586579059
UsedCars,10000,50,93.69716426800005,1.0932856685490122,0.6609675285100153,8985.059827658126
UsedCars,10000,100,186.07937805302208,2.6350533647633942,0.6623514239198083,8966.708046186255
UsedCars,20000,25,117.0503815189877,4.1379285502995815,0.6150126869584138,9709.222361437402
UsedCars,20000,50,238.00502802198753,0.26999728342371576,0.6160443122880344,9696.228823230169
UsedCars,20000,100,473.52145962248323,7.099671946438613,0.6164347317051211,9691.292016774223
